ID,sex,group,phase,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,feed.A,feed.B,feed.C,feed.D,total,feed.edge,feed.middle,feed.rewarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,M,centre,trained2,1,1,0,0,1,1,1,0,3,3,2,2,4,3,3,3,2,3,10,13,28,13,13,7,A2,B2,C2,C3,D4,C3,B3,D4,D3,D2,D1,C1,B1,D3,D2,C2,D2,D1,C4,D3,C2,C1,D1,D4,C4,D1,C1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
42,M,centre,trained2,4,1,2,2,2,2,1,2,3,0,0,2,2,0,0,4,9,7,5,6,27,12,12,3,D4,C4,B4,A4,A3,A3,A1,D1,C1,B1,A1,B4,D4,A4,A2,A1,D4,B2,A1,B1,D1,D4,C1,B3,B2,C1,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,F,centre,trained2,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,2,0,1,1,9,11,9,2,0,D4,D3,B4,C4,D2,D2,D2,D3,D2,D4,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,M,centre,trained2,3,1,1,1,5,1,0,0,9,2,1,2,2,1,0,0,6,6,14,3,29,19,20,4,C1,C2,B2,A3,B1,C1,C4,A2,D2,C2,C1,C1,D1,C1,A1,B1,C1,C1,A1,B1,C1,B1,D1,C1,B1,C4,C3,A4,A1,,,,,,,,,,,,,,,,,,,,,,,,,
48,M,border,naive,2,1,1,1,5,1,0,0,4,2,1,1,3,3,3,1,5,6,8,10,29,18,14,10,D4,D3,D2,C2,C1,B1,A1,A4,B2,B1,A2,C4,C3,C2,C1,D1,A1,B1,D2,C1,D1,D3,D1,B1,D3,D2,C1,B1,A3,,,,,,,,,,,,,,,,,,,,,,,,,
49,F,border,naive,2,2,1,0,1,1,1,0,0,0,1,1,0,0,0,2,5,3,2,2,12,5,5,2,A2,A1,B1,B2,B3,D4,D4,C4,C3,A3,A2,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,M,border,naive,1,3,1,1,3,0,0,3,1,2,2,0,1,1,1,2,6,6,5,5,22,13,11,5,A1,B1,C1,D2,D3,D4,A4,B4,C3,C2,A3,B4,C3,D4,C2,B1,A2,A2,D1,B4,A2,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,F,border,naive,1,2,2,4,0,0,0,1,0,0,0,1,0,0,1,0,9,1,1,1,12,7,2,1,A2,A3,A4,A4,A4,B4,A4,A3,A2,A1,D3,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,F,border,naive,0,1,0,0,2,0,1,0,4,0,1,0,4,0,0,0,1,3,5,4,13,7,8,4,D1,C1,B1,C1,B1,B3,C3,A2,D1,C1,D1,D1,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,F,border,naive,0,1,1,1,2,2,2,0,3,2,1,0,1,2,2,0,3,6,6,5,20,11,12,5,B1,C1,D1,C1,B1,C2,C3,C2,D2,D3,B3,A3,D3,D2,C1,B2,A2,B2,B3,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,M,border,naive,2,3,2,1,1,4,1,0,0,4,0,3,2,3,2,2,8,6,7,9,30,14,13,8,C2,B2,D2,C2,B2,B1,A2,B2,C2,D1,B2,A1,A2,A4,A2,D2,D4,C4,D1,C4,D3,D2,B3,A3,C4,D3,D4,C2,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
62,M,border,naive,2,2,2,1,0,0,1,1,2,2,0,2,2,5,4,4,7,2,6,15,30,18,8,7,D3,D2,C2,D2,D3,D4,C4,B3,A3,B4,A4,D3,D4,D4,C4,A3,A2,A1,D2,D1,C1,C1,A2,A1,D2,C2,D2,D4,D3,D1,,,,,,,,,,,,,,,,,,,,,,,,
64,F,border,naive,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,2,1,0,2,5,8,3,2,1,D3,C3,D2,D4,A3,D4,C3,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,F,border,naive,2,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,2,1,2,7,3,3,2,B4,D1,C1,A1,B1,A1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,F,border,naive,0,0,1,0,0,2,1,0,4,1,0,1,3,1,1,0,1,3,6,5,15,8,9,5,C1,B2,C2,C4,B3,B2,C1,D1,D1,C1,C1,D1,D2,D3,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,F,border,naive,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,2,2,1,6,2,4,1,A4,B4,B3,C3,D3,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,F,border,naive,0,1,1,3,0,1,1,2,1,0,0,0,1,0,0,0,5,4,1,1,11,5,5,1,A4,A4,A4,B4,B3,B2,C1,D1,A3,B4,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,F,border,naive,1,0,2,1,2,1,1,0,1,1,2,0,1,1,1,0,4,4,4,3,15,7,8,3,B1,A3,B2,C2,D3,C3,B3,A4,A3,A1,C1,B1,D1,C3,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,F,border,naive,1,1,0,0,0,2,1,0,0,1,0,0,0,0,1,1,2,3,1,2,8,2,4,2,B2,A1,B2,C2,D4,D3,A2,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,F,border,naive,0,2,3,2,0,0,0,2,1,1,2,3,0,2,2,2,7,2,7,6,22,15,9,7,A4,A3,A2,A4,C4,B4,D4,C4,C3,D3,D4,D3,A2,A3,C3,B4,C1,D2,A3,C4,C2,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,F,border,naive,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,B4,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,M,border,naive,0,0,1,1,0,1,1,0,0,1,2,0,1,1,1,3,2,2,3,6,13,3,5,2,D4,C3,B3,C2,C3,D2,D1,B2,D4,D4,D3,A4,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,F,border,naive,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,A4,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,M,border,naive,0,0,1,2,1,1,0,1,0,0,0,1,1,1,1,0,3,3,1,3,10,6,4,3,A4,A3,B2,B1,A4,B4,C4,D3,D2,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,M,border,naive,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,1,2,3,1,7,5,5,1,A3,B1,C1,D1,C4,C3,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,M,border,trained,2,2,1,4,3,1,1,2,3,2,0,1,3,2,1,2,9,7,6,8,30,15,13,8,D2,C2,C1,B1,A1,A2,B2,C1,B1,A1,A2,A3,C4,D4,D3,D4,A4,A4,B4,B3,C2,D1,C1,B1,D1,D2,D1,B4,A4,A4,,,,,,,,,,,,,,,,,,,,,,,,
49,F,border,trained,4,0,3,3,2,1,4,0,0,1,3,1,2,2,2,2,10,7,5,8,30,10,12,8,A4,A3,A4,C4,C3,B3,A1,B3,B2,A1,B1,C2,D2,D1,D3,C3,B3,A3,D4,C3,A3,B1,A1,D2,D3,A1,A4,B3,D4,D1,,,,,,,,,,,,,,,,,,,,,,,,
